# energy dos
-7.693600000000000705e+01 0.000000000000000000e+00
-7.684690000000000509e+01 0.000000000000000000e+00
-7.675780000000000314e+01 0.000000000000000000e+00
-7.666870000000000118e+01 0.000000000000000000e+00
-7.657959999999999923e+01 0.000000000000000000e+00
-7.649050000000001148e+01 0.000000000000000000e+00
-7.640140000000000953e+01 0.000000000000000000e+00
-7.631230000000000757e+01 0.000000000000000000e+00
-7.622320000000000562e+01 0.000000000000000000e+00
-7.613410000000000366e+01 0.000000000000000000e+00
-7.604500000000000171e+01 0.000000000000000000e+00
-7.595589999999999975e+01 0.000000000000000000e+00
-7.586679999999999779e+01 0.000000000000000000e+00
-7.577770000000001005e+01 0.000000000000000000e+00
-7.568860000000000809e+01 0.000000000000000000e+00
-7.559950000000000614e+01 0.000000000000000000e+00
-7.551040000000000418e+01 0.000000000000000000e+00
-7.542130000000000223e+01 0.000000000000000000e+00
-7.533220000000000027e+01 0.000000000000000000e+00
-7.524309999999999832e+01 0.000000000000000000e+00
-7.515400000000001057e+01 0.000000000000000000e+00
-7.506490000000000862e+01 0.000000000000000000e+00
-7.497580000000000666e+01 0.000000000000000000e+00
-7.488670000000000471e+01 0.000000000000000000e+00
-7.479770000000000607e+01 0.000000000000000000e+00
-7.470860000000000412e+01 0.000000000000000000e+00
-7.461950000000000216e+01 0.000000000000000000e+00
-7.453040000000000020e+01 0.000000000000000000e+00
-7.444129999999999825e+01 0.000000000000000000e+00
-7.435220000000001050e+01 0.000000000000000000e+00
-7.426310000000000855e+01 0.000000000000000000e+00
-7.417400000000000659e+01 0.000000000000000000e+00
-7.408490000000000464e+01 0.000000000000000000e+00
-7.399580000000000268e+01 0.000000000000000000e+00
-7.390670000000000073e+01 0.000000000000000000e+00
-7.381759999999999877e+01 0.000000000000000000e+00
-7.372850000000001103e+01 0.000000000000000000e+00
-7.363940000000000907e+01 0.000000000000000000e+00
-7.355030000000000712e+01 0.000000000000000000e+00
-7.346120000000000516e+01 0.000000000000000000e+00
-7.337210000000000321e+01 0.000000000000000000e+00
-7.328300000000000125e+01 0.000000000000000000e+00
-7.319389999999999930e+01 0.000000000000000000e+00
-7.310479999999999734e+01 0.000000000000000000e+00
-7.301570000000000960e+01 0.000000000000000000e+00
-7.292660000000000764e+01 0.000000000000000000e+00
-7.283750000000000568e+01 9.924540000000000362e+01
-7.274840000000000373e+01 0.000000000000000000e+00
-7.265930000000000177e+01 0.000000000000000000e+00
-7.257019999999999982e+01 0.000000000000000000e+00
-7.248109999999999786e+01 0.000000000000000000e+00
-7.239200000000001012e+01 0.000000000000000000e+00
-7.230290000000000816e+01 0.000000000000000000e+00
-7.221390000000000953e+01 0.000000000000000000e+00
-7.212480000000000757e+01 0.000000000000000000e+00
-7.203570000000000562e+01 0.000000000000000000e+00
-7.194660000000000366e+01 0.000000000000000000e+00
-7.185750000000000171e+01 0.000000000000000000e+00
-7.176839999999999975e+01 0.000000000000000000e+00
-7.167929999999999779e+01 0.000000000000000000e+00
-7.159020000000001005e+01 0.000000000000000000e+00
-7.150110000000000809e+01 0.000000000000000000e+00
-7.141200000000000614e+01 0.000000000000000000e+00
-7.132290000000000418e+01 0.000000000000000000e+00
-7.123380000000000223e+01 0.000000000000000000e+00
-7.114470000000000027e+01 0.000000000000000000e+00
-7.105559999999999832e+01 0.000000000000000000e+00
-7.096650000000001057e+01 0.000000000000000000e+00
-7.087740000000000862e+01 0.000000000000000000e+00
-7.078830000000000666e+01 0.000000000000000000e+00
-7.069920000000000471e+01 0.000000000000000000e+00
-7.061010000000000275e+01 0.000000000000000000e+00
-7.052100000000000080e+01 0.000000000000000000e+00
-7.043189999999999884e+01 0.000000000000000000e+00
-7.034280000000001110e+01 0.000000000000000000e+00
-7.025370000000000914e+01 0.000000000000000000e+00
-7.016460000000000719e+01 0.000000000000000000e+00
-7.007550000000000523e+01 0.000000000000000000e+00
-6.998640000000000327e+01 0.000000000000000000e+00
-6.989730000000000132e+01 0.000000000000000000e+00
-6.980819999999999936e+01 0.000000000000000000e+00
-6.971920000000000073e+01 0.000000000000000000e+00
-6.963009999999999877e+01 0.000000000000000000e+00
-6.954100000000001103e+01 0.000000000000000000e+00
-6.945190000000000907e+01 0.000000000000000000e+00
-6.936280000000000712e+01 0.000000000000000000e+00
-6.927370000000000516e+01 0.000000000000000000e+00
-6.918460000000000321e+01 0.000000000000000000e+00
-6.909550000000000125e+01 0.000000000000000000e+00
-6.900639999999999930e+01 0.000000000000000000e+00
-6.891729999999999734e+01 0.000000000000000000e+00
-6.882820000000000960e+01 0.000000000000000000e+00
-6.873910000000000764e+01 0.000000000000000000e+00
-6.865000000000000568e+01 0.000000000000000000e+00
-6.856090000000000373e+01 0.000000000000000000e+00
-6.847180000000000177e+01 0.000000000000000000e+00
-6.838269999999999982e+01 0.000000000000000000e+00
-6.829359999999999786e+01 0.000000000000000000e+00
-6.820450000000001012e+01 0.000000000000000000e+00
-6.811540000000000816e+01 0.000000000000000000e+00
-6.802630000000000621e+01 0.000000000000000000e+00
-6.793720000000000425e+01 0.000000000000000000e+00
