  0.57000000E+00  0.74454404E-45  0.22843259E+01
  0.57500000E+00  0.74589826E-45  0.23061774E+01
  0.58000000E+00  0.75419775E-45  0.23280858E+01
  0.58500000E+00  0.81852192E-45  0.23500521E+01
  0.59000000E+00  0.13247082E-44  0.23720773E+01
  0.59500000E+00  0.52368374E-44  0.23941625E+01
  0.60000000E+00  0.34804698E-43  0.24163089E+01
  0.60500000E+00  0.25321232E-42  0.24385174E+01
  0.61000000E+00  0.18297075E-41  0.24607894E+01
  0.61500000E+00  0.12948351E-40  0.24831259E+01
  0.62000000E+00  0.89561078E-40  0.25055281E+01
  0.62500000E+00  0.60525302E-39  0.25279974E+01
  0.63000000E+00  0.39957541E-38  0.25505349E+01
  0.63500000E+00  0.25765718E-37  0.25731420E+01
  0.64000000E+00  0.16225515E-36  0.25958201E+01
  0.64500000E+00  0.99767434E-36  0.26185704E+01
  0.65000000E+00  0.59885642E-35  0.26413944E+01
  0.65500000E+00  0.35082894E-34  0.26642935E+01
  0.66000000E+00  0.20053247E-33  0.26872693E+01
  0.66500000E+00  0.11180132E-32  0.27103233E+01
  0.67000000E+00  0.60773140E-32  0.27334570E+01
  0.67500000E+00  0.32193976E-31  0.27566721E+01
  0.68000000E+00  0.16610703E-30  0.27799703E+01
  0.68500000E+00  0.83415603E-30  0.28033532E+01
  0.69000000E+00  0.40735433E-29  0.28268227E+01
  0.69500000E+00  0.19323249E-28  0.28503806E+01
  0.70000000E+00  0.88908663E-28  0.28740287E+01
  0.70500000E+00  0.39603242E-27  0.28977691E+01
  0.71000000E+00  0.17033267E-26  0.29216038E+01
  0.71500000E+00  0.70472713E-26  0.29455347E+01
  0.72000000E+00  0.27891808E-25  0.29695642E+01
  0.72500000E+00  0.10466887E-24  0.29936944E+01
  0.73000000E+00  0.36675904E-24  0.30179275E+01
  0.73500000E+00  0.11642137E-23  0.30422662E+01
  0.74000000E+00  0.31086374E-23  0.30667126E+01
  0.74500000E+00  0.52032081E-23  0.30912696E+01
  0.75000000E+00 -0.10589150E-22  0.31159396E+01
  0.75500000E+00 -0.17004197E-21  0.31407255E+01
  0.76000000E+00 -0.11666535E-20  0.31656302E+01
  0.76500000E+00 -0.63940021E-20  0.31906566E+01
  0.77000000E+00 -0.31210246E-19  0.32158077E+01
  0.77500000E+00 -0.14116493E-18  0.32410870E+01
  0.78000000E+00 -0.60296620E-18  0.32664976E+01
  0.78500000E+00 -0.24579682E-17  0.32920431E+01
  0.79000000E+00 -0.96247144E-17  0.33177271E+01
  0.79500000E+00 -0.36355927E-16  0.33435534E+01
  0.80000000E+00 -0.13286634E-15  0.33695261E+01
  0.80500000E+00 -0.47078552E-15  0.33956492E+01
  0.81000000E+00 -0.16198549E-14  0.34219271E+01
  0.81500000E+00 -0.54185675E-14  0.34483643E+01
  0.82000000E+00 -0.17637605E-13  0.34749657E+01
  0.82500000E+00 -0.55904236E-13  0.35017361E+01
  0.83000000E+00 -0.17263782E-12  0.35286808E+01
  0.83500000E+00 -0.51963350E-12  0.35558053E+01
  0.84000000E+00 -0.15250014E-11  0.35831154E+01
  0.84500000E+00 -0.43647838E-11  0.36106172E+01
  0.85000000E+00 -0.12185774E-10  0.36383170E+01
  0.85500000E+00 -0.33189029E-10  0.36662217E+01
  0.86000000E+00 -0.88189680E-10  0.36943383E+01
  0.86500000E+00 -0.22862980E-09  0.37226744E+01
  0.87000000E+00 -0.57827000E-09  0.37512380E+01
  0.87500000E+00 -0.14268686E-08  0.37800374E+01
  0.88000000E+00 -0.34343795E-08  0.38090817E+01
  0.88500000E+00 -0.80623656E-08  0.38383803E+01
  0.89000000E+00 -0.18456495E-07  0.38679434E+01
  0.89500000E+00 -0.41192141E-07  0.38977816E+01
  0.90000000E+00 -0.89607693E-07  0.39279065E+01
  0.90500000E+00 -0.18993580E-06  0.39583304E+01
  0.91000000E+00 -0.39213338E-06  0.39890662E+01
  0.91500000E+00 -0.78816783E-06  0.40201280E+01
  0.92000000E+00 -0.15413169E-05  0.40515308E+01
  0.92500000E+00 -0.29301632E-05  0.40832908E+01
  0.93000000E+00 -0.54090135E-05  0.41154253E+01
  0.93500000E+00 -0.96796707E-05  0.41479531E+01
  0.94000000E+00 -0.16752774E-04  0.41808944E+01
  0.94500000E+00 -0.27942078E-04  0.42142711E+01
  0.95000000E+00 -0.44670677E-04  0.42481070E+01
  0.95500000E+00 -0.67864040E-04  0.42824277E+01
  0.96000000E+00 -0.96567113E-04  0.43172613E+01
  0.96500000E+00 -0.12531573E-03  0.43526384E+01
  0.97000000E+00 -0.13992242E-03  0.43885923E+01
  0.97500000E+00 -0.11218047E-03  0.44251595E+01
  0.98000000E+00  0.36604273E-05  0.44623800E+01
  0.98500000E+00  0.26537989E-03  0.45002975E+01
  0.99000000E+00  0.71627387E-03  0.45389598E+01
  0.99500000E+00  0.13285568E-02  0.45784193E+01
  0.10000000E+01  0.19327099E-02  0.46187330E+01
  0.10050000E+01  0.22018123E-02  0.46599623E+01
  0.10100000E+01  0.17955937E-02  0.47021725E+01
  0.10150000E+01  0.64132025E-03  0.47454307E+01
  0.10200000E+01 -0.10358418E-02  0.47898018E+01
  0.10250000E+01 -0.33173834E-02  0.48353408E+01
  0.10300000E+01 -0.67955015E-02  0.48820902E+01
  0.10350000E+01 -0.12455736E-01  0.49300635E+01
  0.10400000E+01 -0.18001206E-01  0.49791707E+01
  0.10450000E+01 -0.19439486E-01  0.50294389E+01
  0.10500000E+01 -0.13217111E-01  0.50808953E+01
  0.10550000E+01 -0.44502027E-02  0.51335575E+01
  0.10600000E+01 -0.10961067E-01  0.51873645E+01
  0.10650000E+01 -0.26904295E-01  0.52419295E+01
  0.10700000E+01 -0.12417050E-01  0.52953983E+01
  0.10750000E+01 -0.10250700E+00  0.53246629E+01
  0.10800000E+01 -0.40188634E+00  0.53483999E+01
  0.10850000E+01 -0.54982144E+00  0.53452714E+01
  0.10900000E+01 -0.66865674E+00  0.53472041E+01
  0.10950000E+01 -0.74598268E+00  0.53501263E+01
  0.11000000E+01 -0.82284227E+00  0.53539744E+01
  0.11050000E+01 -0.87839259E+00  0.53584559E+01
  0.11100000E+01 -0.92989523E+00  0.53633473E+01
  0.11150000E+01 -0.97681990E+00  0.53684971E+01
  0.11200000E+01 -0.10190889E+01  0.53737725E+01
  0.11250000E+01 -0.10619016E+01  0.53790373E+01
  0.11300000E+01 -0.11073332E+01  0.53841583E+01
  0.11350000E+01 -0.11541606E+01  0.53890226E+01
  0.11400000E+01 -0.11994901E+01  0.53935584E+01
  0.11450000E+01 -0.12410819E+01  0.53977490E+01
  0.11500000E+01 -0.12782238E+01  0.54016284E+01
  0.11550000E+01 -0.13107586E+01  0.54052650E+01
  0.11600000E+01 -0.13385995E+01  0.54087447E+01
  0.11650000E+01 -0.13622163E+01  0.54121571E+01
  0.11700000E+01 -0.13828944E+01  0.54155797E+01
  0.11750000E+01 -0.14022847E+01  0.54190724E+01
  0.11800000E+01 -0.14217200E+01  0.54226793E+01
  0.11850000E+01 -0.14417998E+01  0.54264336E+01
  0.11900000E+01 -0.14623517E+01  0.54303628E+01
  0.11950000E+01 -0.14826436E+01  0.54344941E+01
  0.12000000E+01 -0.15016976E+01  0.54388570E+01
  0.12050000E+01 -0.15186096E+01  0.54434823E+01
  0.12100000E+01 -0.15328137E+01  0.54483974E+01
  0.12150000E+01 -0.15442390E+01  0.54536216E+01
  0.12200000E+01 -0.15533233E+01  0.54591600E+01
  0.12250000E+01 -0.15608846E+01  0.54649967E+01
  0.12300000E+01 -0.15678929E+01  0.54710938E+01
  0.12350000E+01 -0.15752137E+01  0.54773982E+01
  0.12400000E+01 -0.15833997E+01  0.54838546E+01
  0.12450000E+01 -0.15925813E+01  0.54904135E+01
  0.12500000E+01 -0.16024754E+01  0.54970292E+01
  0.12550000E+01 -0.16124958E+01  0.55036537E+01
  0.12600000E+01 -0.16219244E+01  0.55102408E+01
  0.12650000E+01 -0.16300943E+01  0.55167632E+01
  0.12700000E+01 -0.16365355E+01  0.55232286E+01
  0.12750000E+01 -0.16410562E+01  0.55296755E+01
  0.12800000E+01 -0.16437466E+01  0.55361497E+01
  0.12850000E+01 -0.16449202E+01  0.55426798E+01
  0.12900000E+01 -0.16450149E+01  0.55492742E+01
  0.12950000E+01 -0.16444868E+01  0.55559400E+01
  0.13000000E+01 -0.16437199E+01  0.55627033E+01
  0.13050000E+01 -0.16429699E+01  0.55696126E+01
  0.13100000E+01 -0.16423444E+01  0.55767212E+01
  0.13150000E+01 -0.16418157E+01  0.55840635E+01
  0.13200000E+01 -0.16412572E+01  0.55916443E+01
  0.13250000E+01 -0.16404902E+01  0.55994509E+01
  0.13300000E+01 -0.16393326E+01  0.56074769E+01
  0.13350000E+01 -0.16376388E+01  0.56157411E+01
  0.13400000E+01 -0.16353248E+01  0.56242837E+01
  0.13450000E+01 -0.16323748E+01  0.56331428E+01
  0.13500000E+01 -0.16288299E+01  0.56423306E+01
  0.13550000E+01 -0.16247646E+01  0.56518339E+01
  0.13600000E+01 -0.16202590E+01  0.56616363E+01
  0.13650000E+01 -0.16153761E+01  0.56717425E+01
  0.13700000E+01 -0.16101517E+01  0.56821790E+01
  0.13750000E+01 -0.16045971E+01  0.56929726E+01
  0.13800000E+01 -0.15987123E+01  0.57041311E+01
  0.13850000E+01 -0.15925001E+01  0.57156448E+01
  0.13900000E+01 -0.15859741E+01  0.57275059E+01
  0.13950000E+01 -0.15791572E+01  0.57397211E+01
  0.14000000E+01 -0.15720711E+01  0.57523087E+01
  0.14050000E+01 -0.15647256E+01  0.57652875E+01
  0.14100000E+01 -0.15571137E+01  0.57786682E+01
  0.14150000E+01 -0.15492188E+01  0.57924506E+01
  0.14200000E+01 -0.15410292E+01  0.58066223E+01
  0.14250000E+01 -0.15325530E+01  0.58211654E+01
  0.14300000E+01 -0.15238214E+01  0.58360753E+01
  0.14350000E+01 -0.15148779E+01  0.58513787E+01
  0.14400000E+01 -0.15057546E+01  0.58671246E+01
  0.14450000E+01 -0.14964513E+01  0.58833461E+01
  0.14500000E+01 -0.14869309E+01  0.59000285E+01
  0.14550000E+01 -0.14771390E+01  0.59171195E+01
  0.14600000E+01 -0.14670407E+01  0.59345751E+01
  0.14650000E+01 -0.14566554E+01  0.59523989E+01
  0.14700000E+01 -0.14460661E+01  0.59706402E+01
  0.14750000E+01 -0.14353907E+01  0.59893599E+01
  0.14800000E+01 -0.14247248E+01  0.60085945E+01
  0.14850000E+01 -0.14140837E+01  0.60283421E+01
  0.14900000E+01 -0.14033784E+01  0.60485663E+01
  0.14950000E+01 -0.13924478E+01  0.60692124E+01
  0.15000000E+01 -0.13811391E+01  0.60902344E+01
  0.15050000E+01 -0.13693991E+01  0.61116277E+01
  0.15100000E+01 -0.13573258E+01  0.61334479E+01
  0.15150000E+01 -0.13451448E+01  0.61557901E+01
  0.15200000E+01 -0.13331123E+01  0.61787306E+01
  0.15250000E+01 -0.13213873E+01  0.62022712E+01
  0.15300000E+01 -0.13099387E+01  0.62263338E+01
  0.15350000E+01 -0.12985439E+01  0.62508122E+01
  0.15400000E+01 -0.12868877E+01  0.62756413E+01
  0.15450000E+01 -0.12747208E+01  0.63008357E+01
  0.15500000E+01 -0.12619968E+01  0.63264807E+01
  0.15550000E+01 -0.12489149E+01  0.63526894E+01
  0.15600000E+01 -0.12358379E+01  0.63795474E+01
  0.15650000E+01 -0.12231213E+01  0.64070681E+01
  0.15700000E+01 -0.12109381E+01  0.64351785E+01
  0.15750000E+01 -0.11991917E+01  0.64637533E+01
  0.15800000E+01 -0.11875644E+01  0.64926870E+01
  0.15850000E+01 -0.11756802E+01  0.65219624E+01
  0.15900000E+01 -0.11632992E+01  0.65516687E+01
  0.15950000E+01 -0.11504410E+01  0.65819543E+01
  0.16000000E+01 -0.11373734E+01  0.66129425E+01
  0.16050000E+01 -0.11244711E+01  0.66446612E+01
  0.16100000E+01 -0.11120231E+01  0.66770284E+01
  0.16150000E+01 -0.11000912E+01  0.67099003E+01
  0.16200000E+01 -0.10884951E+01  0.67431538E+01
  0.16250000E+01 -0.10769302E+01  0.67767561E+01
  0.16300000E+01 -0.10651489E+01  0.68107867E+01
  0.16350000E+01 -0.10531028E+01  0.68454011E+01
  0.16400000E+01 -0.10409665E+01  0.68807482E+01
  0.16450000E+01 -0.10290318E+01  0.69168828E+01
  0.16500000E+01 -0.10175342E+01  0.69537246E+01
  0.16550000E+01 -0.10065152E+01  0.69911027E+01
