  0.00000000E+00  0.90058902E-44 -0.10848971E-16
  0.50000000E-02  0.90059082E-44 -0.72144909E-01
  0.10000000E-01  0.90059620E-44 -0.14429039E+00
  0.15000000E-01  0.90060516E-44 -0.21643703E+00
  0.20000000E-01  0.90061771E-44 -0.28858540E+00
  0.25000000E-01  0.90063385E-44 -0.36073608E+00
  0.30000000E-01  0.90065358E-44 -0.43288964E+00
  0.35000000E-01  0.90067689E-44 -0.50504666E+00
  0.40000000E-01  0.90070378E-44 -0.57720772E+00
  0.45000000E-01  0.90073427E-44 -0.64937339E+00
  0.50000000E-01  0.90076834E-44 -0.72154426E+00
  0.55000000E-01  0.90080599E-44 -0.79372090E+00
  0.60000000E-01  0.90084723E-44 -0.86590389E+00
  0.65000000E-01  0.90089206E-44 -0.93809380E+00
  0.70000000E-01  0.90094048E-44 -0.10102912E+01
  0.75000000E-01  0.90099248E-44 -0.10824967E+01
  0.80000000E-01  0.90104807E-44 -0.11547109E+01
  0.85000000E-01  0.90110725E-44 -0.12269343E+01
  0.90000000E-01  0.90117001E-44 -0.12991675E+01
  0.95000000E-01  0.90123636E-44 -0.13714112E+01
  0.10000000E+00  0.90130630E-44 -0.14436658E+01
  0.10500000E+00  0.90137983E-44 -0.15159320E+01
  0.11000000E+00  0.90145694E-44 -0.15882103E+01
  0.11500000E+00  0.90153764E-44 -0.16605014E+01
  0.12000000E+00  0.90162193E-44 -0.17328058E+01
  0.12500000E+00  0.90170981E-44 -0.18051240E+01
  0.13000000E+00  0.90180127E-44 -0.18774568E+01
  0.13500000E+00  0.90189632E-44 -0.19498046E+01
  0.14000000E+00  0.90199497E-44 -0.20221680E+01
  0.14500000E+00  0.90209720E-44 -0.20945477E+01
  0.15000000E+00  0.90220302E-44 -0.21669442E+01
  0.15500000E+00  0.90231242E-44 -0.22393581E+01
  0.16000000E+00  0.90242542E-44 -0.23117900E+01
  0.16500000E+00  0.90254201E-44 -0.23842405E+01
  0.17000000E+00  0.90266218E-44 -0.24567102E+01
  0.17500000E+00  0.90278595E-44 -0.25291996E+01
  0.18000000E+00  0.90291331E-44 -0.26017094E+01
  0.18500000E+00  0.90304425E-44 -0.26742401E+01
  0.19000000E+00  0.90317879E-44 -0.27467923E+01
  0.19500000E+00  0.90331692E-44 -0.28193667E+01
  0.20000000E+00  0.90345863E-44 -0.28919638E+01
  0.20500000E+00  0.90360394E-44 -0.29645842E+01
  0.21000000E+00  0.90375284E-44 -0.30372285E+01
  0.21500000E+00  0.90390534E-44 -0.31098973E+01
  0.22000000E+00  0.90406142E-44 -0.31825912E+01
  0.22500000E+00  0.90422110E-44 -0.32553109E+01
  0.23000000E+00  0.90438437E-44 -0.33280568E+01
  0.23500000E+00  0.90455123E-44 -0.34008296E+01
  0.24000000E+00  0.90472169E-44 -0.34736300E+01
  0.24500000E+00  0.90489573E-44 -0.35464584E+01
  0.25000000E+00  0.90507338E-44 -0.36193156E+01
  0.25500000E+00  0.90525461E-44 -0.36922021E+01
  0.26000000E+00  0.90543944E-44 -0.37651185E+01
  0.26500000E+00  0.90562787E-44 -0.38380654E+01
  0.27000000E+00  0.90581989E-44 -0.39110435E+01
  0.27500000E+00  0.90601551E-44 -0.39840533E+01
  0.28000000E+00  0.90621472E-44 -0.40570955E+01
  0.28500000E+00  0.90641752E-44 -0.41301706E+01
  0.29000000E+00  0.90662393E-44 -0.42032793E+01
  0.29500000E+00  0.90683393E-44 -0.42764222E+01
  0.30000000E+00  0.90704753E-44 -0.43496000E+01
  0.30500000E+00  0.90726472E-44 -0.44228131E+01
  0.31000000E+00  0.90748551E-44 -0.44960623E+01
  0.31500000E+00  0.90770991E-44 -0.45693482E+01
  0.32000000E+00  0.90793789E-44 -0.46426713E+01
  0.32500000E+00  0.90816948E-44 -0.47160324E+01
  0.33000000E+00  0.90840467E-44 -0.47894320E+01
  0.33500000E+00  0.90864346E-44 -0.48628708E+01
