# energy dos
-7.659290000000000020e+01 0.000000000000000000e+00
-7.650410000000000821e+01 0.000000000000000000e+00
-7.641519999999999868e+01 0.000000000000000000e+00
-7.632630000000000337e+01 0.000000000000000000e+00
-7.623749999999999716e+01 0.000000000000000000e+00
-7.614860000000000184e+01 0.000000000000000000e+00
-7.605970000000000653e+01 0.000000000000000000e+00
-7.597090000000000032e+01 0.000000000000000000e+00
-7.588200000000000500e+01 0.000000000000000000e+00
-7.579309999999999548e+01 0.000000000000000000e+00
-7.570430000000000348e+01 0.000000000000000000e+00
-7.561540000000000816e+01 0.000000000000000000e+00
-7.552660000000000196e+01 0.000000000000000000e+00
-7.543770000000000664e+01 0.000000000000000000e+00
-7.534879999999999711e+01 0.000000000000000000e+00
-7.526000000000000512e+01 0.000000000000000000e+00
-7.517109999999999559e+01 0.000000000000000000e+00
-7.508220000000000027e+01 0.000000000000000000e+00
-7.499340000000000828e+01 0.000000000000000000e+00
-7.490449999999999875e+01 0.000000000000000000e+00
-7.481570000000000675e+01 0.000000000000000000e+00
-7.472679999999999723e+01 0.000000000000000000e+00
-7.463790000000000191e+01 0.000000000000000000e+00
-7.454909999999999570e+01 0.000000000000000000e+00
-7.446020000000000039e+01 0.000000000000000000e+00
-7.437130000000000507e+01 0.000000000000000000e+00
-7.428249999999999886e+01 0.000000000000000000e+00
-7.419360000000000355e+01 0.000000000000000000e+00
-7.410470000000000823e+01 0.000000000000000000e+00
-7.401590000000000202e+01 0.000000000000000000e+00
-7.392700000000000671e+01 0.000000000000000000e+00
-7.383820000000000050e+01 0.000000000000000000e+00
-7.374930000000000518e+01 0.000000000000000000e+00
-7.366039999999999566e+01 0.000000000000000000e+00
-7.357160000000000366e+01 0.000000000000000000e+00
-7.348270000000000834e+01 0.000000000000000000e+00
-7.339379999999999882e+01 0.000000000000000000e+00
-7.330500000000000682e+01 0.000000000000000000e+00
-7.321609999999999729e+01 0.000000000000000000e+00
-7.312720000000000198e+01 0.000000000000000000e+00
-7.303839999999999577e+01 0.000000000000000000e+00
-7.294950000000000045e+01 0.000000000000000000e+00
-7.286070000000000846e+01 0.000000000000000000e+00
-7.277179999999999893e+01 0.000000000000000000e+00
-7.268290000000000362e+01 0.000000000000000000e+00
-7.259409999999999741e+01 9.810000000000000664e-02
-7.250520000000000209e+01 9.897499999999999432e+01
-7.241630000000000678e+01 3.596589999999999776e+01
-7.232750000000000057e+01 0.000000000000000000e+00
-7.223860000000000525e+01 0.000000000000000000e+00
-7.214979999999999905e+01 0.000000000000000000e+00
