E,alpha
-0.004999999999999902,1e-10
9.71445146547012e-17,1e-10
0.005000000000000098,1e-10
0.010000000000000099,1e-10
0.015000000000000097,1e-10
0.0200000000000001,1e-10
0.0250000000000001,1e-10
0.030000000000000096,1e-10
0.0350000000000001,1e-10
0.0400000000000001,1e-10
0.045000000000000095,1e-10
0.0500000000000001,1e-10
0.055000000000000104,1e-10
0.060000000000000095,1e-10
0.0650000000000001,1e-10
0.0700000000000001,1e-10
0.0750000000000001,1e-10
0.0800000000000001,1e-10
0.0850000000000001,1e-10
0.0900000000000001,1e-10
0.0950000000000001,1e-10
0.1000000000000001,1e-10
0.1050000000000001,1e-10
0.1100000000000001,1e-10
0.1150000000000001,1e-10
0.1200000000000001,1e-10
0.1250000000000001,1e-10
0.1300000000000001,1e-10
0.1350000000000001,1e-10
0.1400000000000001,1e-10
0.1450000000000001,1e-10
0.1500000000000001,1e-10
0.1550000000000001,1e-10
0.1600000000000001,1e-10
0.1650000000000001,1e-10
0.1700000000000001,1e-10
0.1750000000000001,1e-10
0.1800000000000001,1e-10
0.1850000000000001,1e-10
0.19000000000000009,1e-10
0.1950000000000001,1e-10
0.2000000000000001,1e-10
0.2050000000000001,1e-10
0.2100000000000001,1e-10
0.2150000000000001,1e-10
0.22000000000000008,1e-10
0.2250000000000001,1e-10
0.2300000000000001,1e-10
0.2350000000000001,1e-10
0.2400000000000001,1e-10
0.2450000000000001,1e-10
0.2500000000000001,1e-10
0.2550000000000001,1e-10
0.2600000000000001,1e-10
0.2650000000000001,1e-10
0.2700000000000001,1e-10
0.2750000000000001,1e-10
0.2800000000000001,1e-10
0.2850000000000001,1e-10
0.2900000000000001,1e-10
0.2950000000000001,1e-10
0.3000000000000001,1e-10
0.3050000000000001,1e-10
0.3100000000000001,1e-10
0.3150000000000001,1e-10
0.3200000000000001,1e-10
0.3250000000000001,1e-10
0.33000000000000007,1e-10
0.3350000000000001,1e-10
0.3400000000000001,1e-10
0.3450000000000001,1e-10
0.3500000000000001,1e-10
0.3550000000000001,1e-10
0.3600000000000001,1e-10
0.3650000000000001,1e-10
0.3700000000000001,1e-10
0.3750000000000001,1e-10
0.3800000000000001,1e-10
0.3850000000000001,1e-10
0.3900000000000001,1e-10
0.3950000000000001,1e-10
0.4000000000000001,1e-10
0.4050000000000001,1e-10
0.4100000000000001,1e-10
0.4150000000000001,1e-10
0.4200000000000001,1e-10
0.4250000000000001,1e-10
0.4300000000000001,1e-10
0.4350000000000001,1e-10
0.4400000000000001,1e-10
0.4450000000000001,1e-10
0.4500000000000001,1e-10
0.45500000000000007,1e-10
0.4600000000000001,1e-10
0.4650000000000001,1e-10
0.4700000000000001,1e-10
0.4750000000000001,1e-10
0.4800000000000001,1e-10
0.4850000000000001,1e-10
0.4900000000000001,1e-10
0.4950000000000001,1e-10
0.5000000000000001,1e-10
0.5050000000000001,1e-10
0.5100000000000001,1e-10
0.5150000000000001,1e-10
0.5200000000000001,1e-10
0.5250000000000001,1e-10
0.5300000000000001,1e-10
0.5350000000000001,1e-10
0.5400000000000001,1e-10
0.5450000000000002,1e-10
0.55,1e-10
0.555,1e-10
0.56,1e-10
0.5650000000000001,1e-10
0.5700000000000001,1e-10
0.5750000000000001,1e-10
0.5800000000000001,1e-10
0.5850000000000001,1e-10
0.5900000000000001,1e-10
0.5950000000000001,1e-10
0.6000000000000001,1e-10
0.6050000000000001,1e-10
0.6100000000000001,1e-10
0.6150000000000001,1e-10
0.6200000000000001,1e-10
0.6250000000000001,1e-10
0.6300000000000001,1e-10
0.6350000000000001,1e-10
0.6400000000000001,1e-10
0.6450000000000001,1e-10
0.6500000000000001,1e-10
0.6550000000000001,1e-10
0.6600000000000001,1e-10
0.6650000000000001,1e-10
0.6700000000000002,1e-10
0.675,1e-10
0.68,1e-10
0.685,1e-10
0.6900000000000001,1e-10
0.6950000000000001,1e-10
0.7000000000000001,1e-10
0.7050000000000001,1e-10
0.7100000000000001,1e-10
0.7150000000000001,1e-10
0.7200000000000001,1e-10
0.7250000000000001,1e-10
0.7300000000000001,1e-10
0.7350000000000001,1e-10
0.7400000000000001,1e-10
0.7450000000000001,1e-10
0.7500000000000001,1e-10
0.7550000000000001,1e-10
0.7600000000000001,1e-10
0.7650000000000001,1e-10
0.7700000000000001,1e-10
0.7750000000000001,1e-10
0.7800000000000001,1e-10
0.7850000000000001,1e-10
0.7900000000000001,1e-10
0.7950000000000002,1e-10
0.8,1e-10
0.805,1e-10
0.81,1e-10
0.8150000000000001,1e-10
0.8200000000000001,1e-10
0.8250000000000001,1e-10
0.8300000000000001,1e-10
0.8350000000000001,1e-10
0.8400000000000001,1e-10
0.8450000000000001,1e-10
0.8500000000000001,1e-10
